タイトル	書名よみ	出版	形態	他の書名	注記	分類	原本請求記号	編著者等	出版年（西暦）	年	アイテムURL	viewingDirection	ID	ソート用項目	機械可読ドキュメント	ウェブサイトURL	IIIFマニフェストURI	帰属	コレクション	サムネイル	利用条件	uterms:roman
繪本名馬揃	エホン メイバゾロエ	浪華 : 藤屋善七 ; 寛政7	1冊(29丁) ; 23cm		備考: 扉に「寺沢氏...」		P807		1795		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/4bb54fae-2bcf-4f9b-b74c-8e65f62a9b32	http://iiif.io/api/presentation/2#rightToLeftDirection	4bb54fae-2bcf-4f9b-b74c-8e65f62a9b32	65	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91591	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91591/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/3d5fc44b80138c3f0f5b8e76666da5b3333d261b.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	ehon meibazoroe
女今川 / [葛飾北斎畫]	オンナ イマガワ	[出版地不明] : [出版者不明] ; [出版年不明]	1冊(27丁) ; 23cm	北斎女今川|繪本女今川		教訓	P808	[葛飾北斎畫]			https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/354f5336-78e0-4757-9144-af8fc227f4df	http://iiif.io/api/presentation/2#rightToLeftDirection	354f5336-78e0-4757-9144-af8fc227f4df	66	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91592	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91592/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/7fcf2f92a024bec9839582ede555af378bbcfcca.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	onna imagawa
倭繪英雄鏡 ; (上)(下) / 長谷川光信畫	ヤマトエ エイユウ カガミ	浪花 : 松翠軒 ; [出版年不明]	2巻2冊 ; 23cm			絵本	P809	長谷川光信畫			https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/9ca978c4-9f04-4dd6-b6ca-9cc9f4ff853e	http://iiif.io/api/presentation/2#rightToLeftDirection	9ca978c4-9f04-4dd6-b6ca-9cc9f4ff853e	67	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91593	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91593/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/b2dca9774dd5b62670fa45c23a720e922026ab0f.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	yamatoe eiyu kagami
繪本威武貴山 (上)(中)(下) / 勝川春章畫	エホン イブキヤマ	大坂 : 河内屋八兵衛 ; 寛政5	3巻3冊(29丁) ; 23cm		備考: 丁付 9, 9, 9		P810	勝川春章畫	1793		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/22304d4b-69a9-4b77-bd0b-77ec28ce4386	http://iiif.io/api/presentation/2#rightToLeftDirection	22304d4b-69a9-4b77-bd0b-77ec28ce4386	68	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91594	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91594/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/4bcafe61c38fbabe0bc575e764ef25b7bcd28136.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	ehon ibukiyama
孔子事跡圖解 ; (上)(中)(下) / 瑞陽口述 ; 天民, 鸞洲畫	コウシ ジセキ ズカイ	東都 : 小林新兵衛 ; 文化2	3冊(50丁) ; 23cm		成立年: 文化2. 備考: 丁付 16, 16, 17	伝記	P811	瑞陽口述 ; 天民, 鸞洲畫	1805		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/a1e7c3f5-61d8-4e22-99e9-389bc22c3764	http://iiif.io/api/presentation/2#rightToLeftDirection	a1e7c3f5-61d8-4e22-99e9-389bc22c3764	69	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91595	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91595/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/49c7bf2f2549d60d25265cac26043e4e9d550f42.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	koshi jiseki zukai
實語教童子教具註抄 / 狭川半水誌	ジツゴキョウ ドウジキョウ グチュウショウ	浪華 : 河内屋亀七 ; [出版年不明]	1冊(23丁) ; 26cm	實語教童子教具註鈔		教訓	P749	狭川半水誌			https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/fbab2100-8741-4328-9140-ea18fb8db121	http://iiif.io/api/presentation/2#rightToLeftDirection	fbab2100-8741-4328-9140-ea18fb8db121	7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91535	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91535/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/f936aa51595fc39079e86dc9402f460ed6471b15.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	jitsugokyo dojikyo guchusho
武者繪本江戸紫裳紺 / 奥村文角画	ムシャ エホン エド ムラサキ モスソ コン	[出版地不明] : [出版者不明] ; [出版年不明]	1冊 ; 22cm				P813	奥村文角画			https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/65a57bb8-4985-4415-9207-68e865d495b9	http://iiif.io/api/presentation/2#rightToLeftDirection	65a57bb8-4985-4415-9207-68e865d495b9	71	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91596	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91596/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/4aa31d21068d80486802e1bf97e6c12768627a79.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	musha ehon edo murasaki mosuso kon
繪本福禄寿 ; (福之巻)	エホン フクロクジュ	[出版地不明] : [出版者不明] ; [出版年不明]	1冊(13丁) ; 22cm		成立年: 延享2		P814				https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/2d834026-abbd-4273-a11f-0ddd7875d308	http://iiif.io/api/presentation/2#rightToLeftDirection	2d834026-abbd-4273-a11f-0ddd7875d308	72	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91597	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91597/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/ccec343006c2dfee8a14dc22039e3eff29e9f7cc.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	ehon fukurokuju
繪本高麗獄 ; (上)(中)(下) / 南仙笑楚満人撰 ; 北尾重政畫	エホン コマガタケ	東都 : 和泉屋市兵衛 ; 享和2	3巻(19丁) ; 21cm		成立年: 享和2. 備考: 書名は題箋による		P815	南仙笑楚満人撰 ; 北尾重政畫	1802		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/32a00dd1-e5e3-4c6f-a5ee-f9404cc72931	http://iiif.io/api/presentation/2#rightToLeftDirection	32a00dd1-e5e3-4c6f-a5ee-f9404cc72931	73	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91598	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91598/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/4732ed606d65935f07dafd69199f55a91514f388.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	ehon komagatake
繪本勇者鑑 ; (下)	エホン ユウシャ カガミ	京都 : 菊屋喜兵衛 ; 元文3	1冊(12丁) ; 23cm			絵本	P816		1738		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/8cd0fa9c-e9b3-4e3c-92f6-efc3b6e6d012	http://iiif.io/api/presentation/2#rightToLeftDirection	8cd0fa9c-e9b3-4e3c-92f6-efc3b6e6d012	74	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91599	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91599/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/9e7efe55a15e055e8d00692aba179c0f1ab1ce11.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	ehon yusha kagami
繪本勇者鑑 ; (中)  / [西川祐信画]	エホン ユウシャ カガミ	京都 : 菊屋嘉兵衛 ; [出版年不明]	1冊(12丁) ; 23cm		成立年: 元文3. 備考: 書名は題箋による		P817	[西川祐信画]			https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/7b7bf479-0339-4dc8-a552-9ce247d82e39	http://iiif.io/api/presentation/2#rightToLeftDirection	7b7bf479-0339-4dc8-a552-9ce247d82e39	75	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91600	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91600/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/2946720c197026de277a0755018504fae66119cc.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	ehon yusha kagami
頼朝一生記 ; (上)(下) / 紀吉信畫	ヨリトモ イッショウキ	京都 : 菱屋治兵衛 ; 寛政11	2冊(15丁) ; 23cm	繪本頼朝一生記	成立年: 寛政11. 備考: 書名は序による ; 丁付 8, 7	伝記	P818	紀吉信畫	1799		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/a1634ee9-aa25-4e3e-81d2-1ad0c0eb21f8	http://iiif.io/api/presentation/2#rightToLeftDirection	a1634ee9-aa25-4e3e-81d2-1ad0c0eb21f8	76	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91601	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91601/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/edee1a2cef965aa01756dfeae37a6480588fa57a.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	yoritomo isshoki
繪本八重桜 ; (上) / 西川祐尹畫	エホン ヤエザクラ	[出版地不明] : [出版者不明] ; 宝暦2	1冊(6丁) ; 22cm		成立年: 宝暦2. 備考: 書名は題箋による		P819	西川祐尹畫	1752		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/108e7323-cd77-4ff6-876a-105c27dd94f6	http://iiif.io/api/presentation/2#rightToLeftDirection	108e7323-cd77-4ff6-876a-105c27dd94f6	77	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91602	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91602/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/e77facddebb83684642fa7b9277501b6778e3940.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	ehon yaezakura
繪本和泉川 ; (中) / 西川祐信畫	エホン イズミガワ	[出版地不明] : [出版者不明] ; [出版年不明]	3巻3冊(12丁) ; 23cm	繪入庭訓往来			P820	西川祐信畫			https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/82d39d15-2f0d-4ac7-ad0b-f921c0306bd6	http://iiif.io/api/presentation/2#rightToLeftDirection	82d39d15-2f0d-4ac7-ad0b-f921c0306bd6	78	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91603	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91603/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/4f1f93e4ae99a9886a27f247f81ad74649ebbf37.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	ehon izumigawa
繪本童の的 ; (中) / 鈴木春信畫	エホン ワラベ ノ マト	[出版地不明] : [出版者不明] ; [出版年不明]	1冊(9丁) ; 23cm		成立年: 明和4禿帚子序, 同刊.	教訓	P821	鈴木春信畫			https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/a55746af-1681-4ac8-8d7d-9afc29a5bcec	http://iiif.io/api/presentation/2#rightToLeftDirection	a55746af-1681-4ac8-8d7d-9afc29a5bcec	79	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91604	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91604/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/b5cf5f2d6e15e122d8273ab0d4c744566fd1b478.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	ehon warabe no mato
寺子節用錦袋鑑	テラコ セツヨウ キンタイカガミ	[江戸] : 鱗形屋孫兵衛 ; 寛延4	1冊(26丁) ; 19cm		備考: 節用集(辞書)に情報あり	辞書	P822		1751		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/534756e2-bdfe-4a5f-aa73-3b9f746fc84e	http://iiif.io/api/presentation/2#rightToLeftDirection	534756e2-bdfe-4a5f-aa73-3b9f746fc84e	80	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91605	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91605/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/214c17f6f645730567dda15b74225b3b62487469.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	terako setsuyo kintaikagami
初學萬しつけ方	ショガク ヨロズ シツケカタ	[出版地不明] : [出版者不明] ; [出版年不明]	1冊(18丁) ; 19cm		備考: 題箋 「馬喰町西村屋」	往来物	P823				https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/680203bb-2284-45a9-be78-f522730a8212	http://iiif.io/api/presentation/2#rightToLeftDirection	680203bb-2284-45a9-be78-f522730a8212	81	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91606	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91606/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/e1052fe325cafc3b21870433cb9ded324c55d33e.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	shogaku yorozu shitsukekata
古状揃講釋	コジョウ ゾロエコウシャク	東都 : 丁子屋平兵衛 ; [出版年不明]	1冊(60丁) ; 19cm	頭書訓讀古状揃講釋		往来物	P824				https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/e607123f-f29c-411c-b7b9-95b1a39c5e6a	http://iiif.io/api/presentation/2#rightToLeftDirection	e607123f-f29c-411c-b7b9-95b1a39c5e6a	82	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91607	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91607/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/004a2659dfad743a4eb4d070cdb4490e40926551.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	kojo zoroekoshaku
太閤記圖譜 ; (初)(ニ)(三) / 又玄斎南可[著]	タイコウキ ズフ	東都 : 大和屋喜兵衛 ; [出版年不明]	3冊 ; 18cm	太閤記画譜	角書: 真像	絵画	P825	又玄斎南可[著]			https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/fd1cb53f-5ff1-4fd6-883f-37e3f2d4db5e	http://iiif.io/api/presentation/2#rightToLeftDirection	fd1cb53f-5ff1-4fd6-883f-37e3f2d4db5e	83	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91608	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91608/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/ff127ebe03cea795868a3b599db0675c58441038.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	taikoki zufu
妙義詣 / 高井哂我撰	ミョウギ モウデ	江戸 : 花屋久次郎 ; 不明	1冊(18丁) ; 17cm	上州妙義詣	成立年: 寛政6. 備考: 題箋「星運堂版」	往来物	P826	高井哂我撰			https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/d80c31f0-36aa-45f8-addd-1a865926c1e2	http://iiif.io/api/presentation/2#rightToLeftDirection	d80c31f0-36aa-45f8-addd-1a865926c1e2	84	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91609	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91609/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/0cc5c8f42b2473d41b5e0ec8cd9181fa98a31e8d.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	myogi mode
繪本大學幼稚講釋	エホン ダイガク オサ ナコウシャク	江戸 : 大島屋傳右衛門 ; [出版年不明]	1冊(31丁) ; 20cm		備考: 書名は題箋による	教訓	P827				https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/60073260-1411-4c65-9ac9-0c4d4a94cc9b	http://iiif.io/api/presentation/2#rightToLeftDirection	60073260-1411-4c65-9ac9-0c4d4a94cc9b	85	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91610	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91610/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/50db47d881a70a55a590071b95e8413c271d9ee4.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	ehon daigaku osa nakoshaku
大學啓蒙抄 / 好華堂主人註解 ; 松川半山図画	ダイガク ケイモウショウ	京 : 越後屋治兵衛 ; 嘉永2	1冊(35丁) ; 18cm	上層繪入	備考: 書名は序による		P828	好華堂主人註解 ; 松川半山図画	1849		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/ca44422c-5c0b-4ece-b806-0e2ba1a88979	http://iiif.io/api/presentation/2#rightToLeftDirection	ca44422c-5c0b-4ece-b806-0e2ba1a88979	86	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91611	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91611/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/0f8c437b9cbfa4b65a73affe18879be126c2e2a9.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	daigaku keimosho
英名百雄傳 ; (初)(貮)(三) / 近沢幸山撰 ; 玉蘭斎貞秀畫	エイメイ ヒャクユウデン	[江戸] : 小田原屋彌七 ; [文久3]	3冊 ; 18cm	百雄伝	成立年: 文久3-慶応4. 備考: 見返しの出版者: 東都 玉養堂 ; 丁付 10, 20, 20		P829	近沢幸山撰 ; 玉蘭斎貞秀畫	1863		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/4d07b062-ae3e-4341-aac9-d67305b5cf3a	http://iiif.io/api/presentation/2#rightToLeftDirection	4d07b062-ae3e-4341-aac9-d67305b5cf3a	87	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91612	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91612/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/cf122dc85fadf70849666f9101013ed164e33e61.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	eimei hyakuyuden
勇臣英名百雄傳 ; (三編) / 橋本玉蘭斎画	ユウシン エイメイ ヒャクユウデン	[江戸] : 小田原屋彌七 ; 慶応4	1冊(20丁) ; 19cm				P830	橋本玉蘭斎画	1868		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/4d1070fd-7287-4138-8dab-f71907244c59	http://iiif.io/api/presentation/2#rightToLeftDirection	4d1070fd-7287-4138-8dab-f71907244c59	88	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91613	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91613/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/e43cb32885b9c1bc339469a372dc5ab93428fd3c.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	yushin eimei hyakuyuden
心學道歌圖繪	シンガク ドウカ ズエ	江戸 : 山田佐助 ; [出版年不明]	1冊(50丁) ; 18cm			心学	P831				https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/dd48a5aa-6ee2-40d1-afc5-0cb174293b4b	http://iiif.io/api/presentation/2#rightToLeftDirection	dd48a5aa-6ee2-40d1-afc5-0cb174293b4b	89	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91614	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91614/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/4e58ef86bc5e53ab13b8d1efbc4c88396b91e897.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	shingaku doka zue
孝子教 / 秋葉忠和大人述 ; 東條琴臺先生閲	コウシキョウ	江戸 : 須原屋伊八 ; [天保14]	1冊(30丁) ; 26cm	童蒙必讀孝子教	備考: 見返しに「天保癸卯補刻」	往来物	P751	秋葉忠和大人述 ; 東條琴臺先生閲	1843		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/70e65bb3-9739-40e4-ab37-afb1ad49fb08	http://iiif.io/api/presentation/2#rightToLeftDirection	70e65bb3-9739-40e4-ab37-afb1ad49fb08	9	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91536	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91536/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/8cc7c755826d698dda92e48786b60b708d115244.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	koshikyo
誠忠義臣略傳 / 緑亭川柳輯 ; 歌川豊國[画]	セイチュウ ギシン リャクデン	東都 : 山口屋藤兵衛 ; 弘化5	1冊(27丁) ; 19cm		備考: 書名は題箋による		P832	緑亭川柳輯 ; 歌川豊國[画]	1848		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/30792465-6f47-468e-88ae-c8ee253bc7f0	http://iiif.io/api/presentation/2#rightToLeftDirection	30792465-6f47-468e-88ae-c8ee253bc7f0	90	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91615	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91615/manifest	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	富士川文庫	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/b4a6ba3a8235125639bfd92a428a2ec0194d9890.jpg	http://ikuto.p.u-tokyo.ac.jp/reuse.html	seichu gishin ryakuden
